,Age,Cabin,Embarked,Fare,Nationality,Parch,Pclass,Sex,SibSp,Survived
876,34.5,X,Q,7.8292,United States,0,3,male,0,0.0
877,47.0,X,S,7.0,United States,0,3,female,1,0.0
878,62.0,X,Q,9.6875,United States,0,2,male,0,0.0
879,27.0,X,S,8.6625,Other,0,3,male,0,0.0
880,22.0,X,S,12.2875,Finland,1,3,female,1,0.0
881,14.0,X,S,9.225,Sweden,0,3,male,0,0.0
882,30.0,X,Q,7.6292,United States,0,3,female,0,1.0
883,26.0,X,S,29.0,United States,1,2,male,1,0.0
884,18.0,X,C,7.2292,Other,0,3,female,0,1.0
885,21.0,X,S,24.15,England,0,3,male,2,0.0
886,27.5925227124,X,S,7.8958,Other,0,3,male,0,0.0
887,46.0,X,S,26.0,United States,0,1,male,0,0.0
888,23.0,B,S,82.2667,United States,0,1,female,1,1.0
889,63.0,X,S,26.0,United States,0,2,male,1,0.0
890,47.0,E,S,61.175,United States,0,1,female,1,1.0
891,24.0,X,C,27.7208,Other,0,2,female,1,1.0
892,35.0,X,Q,12.35,United States,0,2,male,0,0.0
893,21.0,X,C,7.225,Other,0,3,male,0,0.0
894,27.0,X,S,7.925,Finland,0,3,female,1,1.0
895,45.0,X,C,7.225,Other,0,3,female,0,0.0
896,55.0,X,C,59.4,United States,0,1,male,1,0.0
897,9.0,X,S,3.1708,United States,1,3,male,0,0.0
898,39.8859402512,X,S,31.6833,Other,0,1,female,0,1.0
899,21.0,X,C,61.3792,United States,1,1,male,0,0.0
900,48.0,B,C,262.375,United States,3,1,female,1,1.0
901,50.0,X,S,14.5,United States,0,3,male,1,0.0
902,22.0,B,C,61.9792,United States,1,1,female,0,1.0
903,22.5,X,C,7.225,Other,0,3,male,0,0.0
904,41.0,A,S,30.5,United States,0,1,male,0,0.0
905,22.3877697287,X,C,21.6792,Other,0,3,male,2,0.0
906,50.0,X,S,26.0,England,0,2,male,1,0.0
907,24.0,X,S,31.5,United States,0,2,male,2,0.0
908,33.0,X,S,20.575,United States,2,3,female,1,0.0
909,17.61805808,X,S,23.45,United States,2,3,female,1,0.0
910,30.0,C,C,57.75,United States,0,1,male,1,1.0
911,18.5,X,C,7.2292,Other,0,3,male,0,0.0
912,26.1547810118,X,S,8.05,United States,0,3,female,0,1.0
913,21.0,X,S,8.6625,Other,0,3,female,0,1.0
914,25.0,X,S,9.5,Other,0,3,male,0,0.0
915,24.2708683425,X,S,56.4958,Other,0,3,male,0,0.0
916,39.0,X,C,13.4167,Other,1,3,male,0,0.0
917,42.849546183,D,S,26.55,United States,0,1,male,0,0.0
918,41.0,X,S,7.85,United States,0,3,male,0,0.0
919,30.0,X,S,13.0,United States,0,2,female,0,1.0
920,45.0,D,S,52.5542,United States,0,1,female,1,1.0
