,Age,Cabin,Embarked,Fare,Nationality,Parch,Pclass,Sex,SibSp,Survived
0,22.0,X,S,7.25,United States,0,3,male,1,0.0
1,38.0,C,C,71.2833,United States,0,1,female,1,1.0
2,26.0,X,S,7.925,Finland,0,3,female,0,1.0
3,35.0,C,S,53.1,United States,0,1,female,1,1.0
4,35.0,X,S,8.05,United States,0,3,male,0,0.0
5,27.7047155723,X,Q,8.4583,United States,0,3,male,0,0.0
6,54.0,E,S,51.8625,United States,0,1,male,0,0.0
7,2.0,X,S,21.075,Sweden,1,3,male,3,0.0
8,27.0,X,S,11.1333,United States,2,3,female,0,1.0
9,14.0,X,C,30.0708,Other,0,2,female,1,1.0
10,4.0,G,S,16.7,Sweden,1,3,female,1,1.0
11,58.0,C,S,26.55,United States,0,1,female,0,1.0
12,20.0,X,S,8.05,Other,0,3,male,0,0.0
13,39.0,X,S,31.275,Sweden,5,3,male,1,0.0
14,14.0,X,S,7.8542,Other,0,3,female,0,0.0
15,55.0,X,S,16.0,United States,0,2,female,0,1.0
16,2.0,X,Q,29.125,United States,1,3,male,4,0.0
17,33.384557792,X,S,13.0,United States,0,2,male,0,1.0
18,31.0,X,S,18.0,Other,0,3,female,1,0.0
19,25.6535109261,X,C,7.225,United States,0,3,female,0,1.0
20,35.0,X,S,26.0,England,0,2,male,0,0.0
21,34.0,D,S,13.0,England,0,2,male,0,1.0
22,15.0,X,Q,8.0292,United States,0,3,female,0,1.0
23,28.0,A,S,35.5,United States,0,1,male,0,1.0
24,8.0,X,S,21.075,Sweden,1,3,female,3,0.0
25,38.0,X,S,31.3875,Sweden,5,3,female,1,1.0
26,27.0889190909,X,C,7.225,Other,0,3,male,0,0.0
27,19.0,C,S,263.0,Other,2,1,male,3,0.0
28,25.5989749968,X,Q,7.8792,Other,0,3,female,0,1.0
29,27.9136436027,X,S,7.8958,United States,0,3,male,0,0.0
30,40.0,X,C,27.7208,Other,0,1,male,0,0.0
31,36.3119243775,B,C,146.5208,United States,0,1,female,1,1.0
32,25.911546862,X,Q,7.75,United States,0,3,female,0,1.0
